"education","Year","obs","perc/ind","ind"
"0","1950","71060","6.59070567666958","1"
"0","1960","9537","0.88454207765828","1"
"0","1970","946","0.08774004461201","1"
"0","1980","3100","0.28752023075817","1"
"0","1990","5769","0.5350658745948","1"
"0","2000","10793","1.00103414534611","1"
"0","2010","844","0.07827970153545","1"
"0","2017","793","0.07354952999717","1"
"1","1950","19361","1.79570296377708","1"
"1","1960","248173","23.0176639444993","1"
"1","1970","32104","2.97759660911624","1"
"1","1980","143908","13.3472456025635","1"
"1","1990","164194","15.2287408932604","1"
"1","2000","109292","10.1366648580716","1"
"1","2010","18444","1.71065262454959","1"
"1","2017","16107","1.49389946994254","1"
"2","1950","874","0.08106215538149","1"
"2","1960","16332","1.51476787378789","1"
"2","1970","3624","0.33612042460245","1"
"2","1980","41842","3.88078112754304","1"
"2","1990","66814","6.19689570899242","1"
"2","2000","50949","4.72544136674132","1"
"2","2010","11039","1.02385026688369","1"
"2","2017","11656","1.08107606765072","1"
"3","1950","119","0.01103706692265","1"
"3","1960","1680","0.15581741537862","1"
"3","1970","417","0.03867610846005","1"
"3","1980","6859","0.63616169766784","1"
"3","1990","5923","0.54934913767117","1"
"3","2000","3819","0.35420637460176","1"
"3","2010","838","0.07772321076624","1"
"3","2017","975","0.09042974999652","1"
"0","1950","134518","2.2680106105089","2"
"0","1960","12328","0.2078534828525","2"
"0","1970","1316","0.02218812325064","2"
"0","1980","5943","0.10020062042443","2"
"0","1990","11802","0.19898497766266","2"
"0","2000","23571","0.39741356621645","2"
"0","2010","2478","0.04177976399322","2"
"0","2015","2567","0.04328032855957","2"
"0","2017","2711","0.04570820830736","2"
"1","1950","41402","0.69804914804182","2"
"1","1960","975903","16.4539939549166","2"
"1","1970","198319","3.34371308126433","2"
"1","1980","965449","16.2777366293374","2"
"1","1990","773004","13.0330608094517","2"
"1","2000","644536","10.867054868902","2"
"1","2010","88032","1.48424381914926","2"
"1","2015","80858","1.36328819893642","2"
"1","2017","78149","1.31761371118111","2"
"2","1950","4195","0.07072885793042","2"
"2","1960","134176","2.2622443961079","2"
"2","1970","36999","0.62381335269792","2"
"2","1980","333616","5.62485784679775","2"
"2","1990","452514","7.62951094577549","2"
"2","2000","447309","7.54175320905848","2"
"2","2010","86605","1.46018420525969","2"
"2","2015","87503","1.47532473313133","2"
"2","2017","89848","1.51486208041306","2"
"3","1950","500","0.00843013801316","2"
"3","1960","17100","0.28831072005012","2"
"3","1970","5238","0.08831412582587","2"
"3","1980","58434","0.98521336932215","2"
"3","1990","39669","0.6688302896882","2"
"3","2000","51218","0.8635496175162","2"
"3","2010","13427","0.22638292620543","2"
"3","2015","14498","0.24444028182963","2"
"3","2017","15366","0.25907500142047","2"
"0","1950","39594","2.65830561047907","3"
"0","1960","5397","0.362349734297","3"
"0","1970","580","0.03894067924629","3"
"0","1980","685","0.04599028497191","3"
"0","1990","2688","0.18046990657593","3"
"0","2000","4394","0.29500921484177","3"
"0","2010","697","0.0467959541977","3"
"0","2015","842","0.05653112400927","3"
"0","2017","918","0.06163369577258","3"
"1","1950","13797","0.92631819234681","3"
"1","1960","327190","21.9672428320616","3"
"1","1970","64071","4.30166941377493","3"
"1","1980","144282","9.68696393623128","3"
"1","1990","177130","11.8923491636146","3"
"1","2000","144692","9.71449096811228","3"
"1","2010","26494","1.77878337232996","3"
"1","2015","25449","1.70862301058447","3"
"1","2017","25227","1.69371812990744","3"
"2","1950","1254","0.08419243409457","3"
"2","1960","38014","2.55222582908398","3"
"2","1970","10582","0.71046597893846","3"
"2","1980","90055","6.04621184400901","3"
"2","1990","149781","10.0561618589474","3"
"2","2000","85065","5.71118772428656","3"
"2","2010","21023","1.41146534447394","3"
"2","2015","21975","1.47538176971959","3"
"2","2017","23494","1.5773660658836","3"
"3","1950","119","0.0079895531557","3"
"3","1960","3552","0.23847809083249","3"
"3","1970","901","0.06049233103605","3"
"3","1980","20064","1.34707894551326","3"
"3","1990","11592","0.77827647210873","3"
"3","2000","4698","0.315419501895","3"
"3","2010","851","0.05713537592861","3"
"3","2015","1105","0.0741887078744","3"
"3","2017","1193","0.0800969488635","3"
"0","1950","31516","0.65585110290407","4"
"0","1960","1339","0.02786472353054","4"
"0","1970","244","0.00507766433267","4"
"0","1980","2837","0.05903825291721","4"
"0","1990","5617","0.11689033015015","4"
"0","2000","9501","0.19771675747847","4"
"0","2010","1197","0.02490968936972","4"
"0","2015","1657","0.03448233524279","4"
"0","2017","1740","0.03620957351989","4"
"1","1950","6420","0.13360084022858","4"
"1","1960","231327","4.81393793887199","4"
"1","1970","77150","1.60549919371268","4"
"1","1980","439601","9.1481406488048","4"
"1","1990","479629","9.98112732056023","4"
"1","2000","222819","4.63688561041953","4"
"1","2010","49138","1.02256668024178","4"
"1","2015","48985","1.019382734984","4"
"1","2017","48164","1.00229764311053","4"
"2","1950","5651","0.11759787354076","4"
"2","1960","180253","3.75108290556439","4"
"2","1970","62292","1.29630273201232","4"
"2","1980","469661","9.77369224651061","4"
"2","1990","781168","16.2561839812592","4"
"2","2000","375508","7.81435892718941","4"
"2","2010","101591","2.11411884106889","4"
"2","2015","112561","2.34240563504204","4"
"2","2017","119214","2.48085522850634","4"
"3","1950","2872","0.05976660640755","4"
"3","1960","91733","1.90897287798892","4"
"3","1970","33238","0.69168609462893","4"
"3","1980","310553","6.46263889961187","4"
"3","1990","282127","5.8710910048552","4"
"3","2000","105106","2.18726634159903","4"
"3","2010","32642","0.67928327519338","4"
"3","2015","38315","0.79733897092808","4"
"3","2017","41993","0.87387851771324","4"
"0","1950","19160","1.18235185581725","5"
"0","1960","524","0.03233571881253","5"
"0","1970","67","0.00413452893213","5"
"0","1980","684","0.04220922074003","5"
"0","1990","890","0.05492135447167","5"
"0","2000","1198","0.0739278456821","5"
"0","2010","214","0.01320580882802","5"
"0","2015","247","0.01524221860056","5"
"0","2017","245","0.01511879982647","5"
"1","1950","7144","0.44085186106254","5"
"1","1960","188230","11.6155579238247","5"
"1","1970","29169","1.80000111076896","5"
"1","1980","152631","9.41876545434462","5"
"1","1990","119048","7.34637910915094","5"
"1","2000","104582","6.45369111613151","5"
"1","2010","19660","1.21320654934066","5"
"1","2015","18272","1.12755392011966","5"
"1","2017","18001","1.11083067622997","5"
"2","1950","1901","0.11730954477602","5"
"2","1960","57361","3.53971215039318","5"
"2","1970","12142","0.7492753775226","5"
"2","1980","127747","7.88318906707131","5"
"2","1990","181452","11.1972916984212","5"
"2","2000","227857","14.0609158043294","5"
"2","2010","57408","3.54261249158438","5"
"2","2015","55270","3.41067782207826","5"
"2","2017","56186","3.46720362061315","5"
"3","1950","362","0.02233879811095","5"
"3","1960","11458","0.70706615678257","5"
"3","1970","2662","0.16427038831865","5"
"3","1980","38140","2.35359602196607","5"
"3","1990","26763","1.65152832553429","5"
"3","2000","41407","2.55520058944806","5"
"3","2010","13087","0.80759074828185","5"
"3","2015","13841","0.85411962611516","5"
"3","2017","15489","0.95581669596834","5"
