"State","Year","obs","perc_job/ind","ind"
"1","1960","4252","0.71999580058893","1"
"1","1980","870","0.14731804950902","1"
"1","1990","2073","0.35102335245081","1"
"1","2000","1632","0.27634834114796","1"
"1","2010","232","0.0392848132024","1"
"1","2017","229","0.03877681992823","1"
"2","1960","54","0.00914387893504","1"
"2","1980","103","0.01744110241313","1"
"2","1990","628","0.10633992539272","1"
"2","2000","450","0.07619899112535","1"
"2","2010","50","0.00846655456948","1"
"2","2017","75","0.01269983185422","1"
"4","1960","1440","0.24383677160114","1"
"4","1980","662","0.11209718249997","1"
"4","1990","1885","0.31918910726955","1"
"4","2000","1362","0.23062894647274","1"
"4","2010","213","0.036067522466","1"
"4","2017","222","0.0375915022885","1"
"5","1960","4162","0.70475600236386","1"
"5","1980","1142","0.19337610636701","1"
"5","1990","2538","0.42976230994701","1"
"5","2000","2532","0.42874632339867","1"
"5","2010","375","0.06349915927113","1"
"5","2017","320","0.05418594924469","1"
"6","1960","11646","1.97202989032425","1"
"6","1980","6534","1.10640935114019","1"
"6","1990","20735","3.51108017996508","1"
"6","2000","14596","2.47155660992381","1"
"6","2010","3126","0.52932899168415","1"
"6","2017","3128","0.52966765386692","1"
"8","1960","2165","0.36660181285866","1"
"8","1980","951","0.16103386791158","1"
"8","1990","3099","0.52475705221662","1"
"8","2000","2388","0.40436264623856","1"
"8","2010","381","0.06451514581946","1"
"8","2017","421","0.07128838947505","1"
"9","1960","769","0.13021560927866","1"
"9","1980","289","0.04893668541161","1"
"9","1990","1067","0.18067627451279","1"
"9","2000","337","0.05706457779832","1"
"9","2010","64","0.01083718984893","1"
"9","2017","59","0.00999053439199","1"
"10","1960","400","0.06773243655587","1"
"10","1980","122","0.02065839314954","1"
"10","1990","376","0.06366849036252","1"
"10","2000","188","0.03183424518126","1"
"10","2010","37","0.00626525038141","1"
"10","2017","29","0.0049106016503","1"
"11","1960","46","0.00778923020392","1"
"11","1980","47","0.00795856129531","1"
"11","1990","140","0.02370635279455","1"
"11","2000","26","0.00440260837613","1"
"11","2010","13","0.00220130418806","1"
"11","2017","10","0.00169331091389","1"
"12","1960","4975","0.84242217966367","1"
"12","1980","2858","0.48394825919171","1"
"12","1990","8308","1.40680270726548","1"
"12","2000","4459","0.75504733650659","1"
"12","2010","730","0.12361169671446","1"
"12","2017","729","0.12344236562307","1"
"13","1960","5413","0.91658919769235","1"
"13","1980","1401","0.23723285903694","1"
"13","1990","3823","0.64735276238275","1"
"13","2000","2705","0.45804060220909","1"
"13","2010","377","0.06383782145391","1"
"13","2017","453","0.07670698439952","1"
"15","1960","674","0.11412915559664","1"
"15","1980","329","0.0557099290672","1"
"15","1990","804","0.1361421974773","1"
"15","2000","759","0.12852229836476","1"
"15","2010","91","0.01540912931646","1"
"15","2017","89","0.01507046713368","1"
"16","1960","1847","0.31275452579674","1"
"16","1980","863","0.14613273186929","1"
"16","1990","2192","0.37117375232618","1"
"16","2000","1925","0.32596235092514","1"
"16","2010","385","0.06519247018502","1"
"16","2017","402","0.06807109873865","1"
"17","1960","7679","1.30029345078137","1"
"17","1980","2461","0.41672381591001","1"
"17","1990","6511","1.10251473603822","1"
"17","2000","4108","0.69561212342881","1"
"17","2010","689","0.11666912196749","1"
"17","2017","772","0.13072360255283","1"
"18","1960","4895","0.8288756923525","1"
"18","1980","1461","0.24739272452032","1"
"18","1990","3347","0.56675116288127","1"
"18","2000","1859","0.31478649889342","1"
"18","2010","398","0.06739377437309","1"
"18","2017","302","0.05113798959968","1"
"19","1960","9287","1.57257784573598","1"
"19","1980","2933","0.49664809104594","1"
"19","1990","4883","0.82684371925582","1"
"19","2000","3670","0.62144510540013","1"
"19","2010","707","0.1197170816125","1"
"19","2017","658","0.11141985813441","1"
"20","1960","4564","0.77282710110251","1"
"20","1980","1553","0.26297118492817","1"
"20","1990","3581","0.60637463826645","1"
"20","2000","3197","0.54135149917281","1"
"20","2010","570","0.09651872209211","1"
"20","2017","457","0.07738430876508","1"
"21","1960","5672","0.96044595036228","1"
"21","1980","1353","0.22910496665024","1"
"21","1990","2681","0.45397665601574","1"
"21","2000","1893","0.32054375600067","1"
"21","2010","245","0.04148611739047","1"
"21","2017","237","0.04013146865935","1"
"22","1960","3269","0.55354333775287","1"
"22","1980","792","0.13411022438062","1"
"22","1990","2157","0.36524716412754","1"
"22","2000","1598","0.27059108404071","1"
"22","2010","238","0.04030079975074","1"
"22","2017","178","0.03014093426736","1"
"23","1960","789","0.13360223110646","1"
"23","1980","346","0.05858855762083","1"
"23","1990","934","0.15815523935796","1"
"23","2000","1096","0.18558687616309","1"
"23","2010","217","0.03674484683156","1"
"23","2017","164","0.0277702989879","1"
"24","1960","1714","0.29023349064191","1"
"24","1980","648","0.10972654722051","1"
"24","1990","1882","0.31868111399538","1"
"24","2000","769","0.13021560927866","1"
"24","2010","111","0.01879575114425","1"
"24","2017","130","0.02201304188065","1"
"25","1960","1120","0.18965082235644","1"
"25","1980","427","0.07230437602339","1"
"25","1990","1802","0.3051346266842","1"
"25","2000","641","0.10854122958078","1"
"25","2010","125","0.02116638642371","1"
"25","2017","139","0.02353702170316","1"
"26","1960","3849","0.65175537075889","1"
"26","1980","1423","0.24095814304751","1"
"26","1990","4757","0.80550800174072","1"
"26","2000","3296","0.55811527722039","1"
"26","2010","704","0.11920908833833","1"
"26","2017","644","0.10904922285495","1"
"27","1960","7578","1.28319101055102","1"
"27","1980","2568","0.4348422426887","1"
"27","1990","7965","1.34872214291882","1"
"27","2000","5374","0.90998528512815","1"
"27","2010","1246","0.21098653987154","1"
"27","2017","939","0.15900189481491","1"
"28","1960","5571","0.94334351013192","1"
"28","1980","909","0.15392196207322","1"
"28","1990","1970","0.33358225003767","1"
"28","2000","1694","0.28684686881412","1"
"28","2010","234","0.03962347538518","1"
"28","2017","163","0.02760096789651","1"
"29","1960","6565","1.11165861497327","1"
"29","1980","1961","0.33205827021516","1"
"29","1990","4171","0.70627998218636","1"
"29","2000","3770","0.6383782145391","1"
"29","2010","541","0.09160812044181","1"
"29","2017","574","0.09719604645767","1"
"30","1960","1788","0.30276399140475","1"
"30","1980","758","0.12835296727337","1"
"30","1990","1930","0.32680900638208","1"
"30","2000","1966","0.33290492567211","1"
"30","2010","412","0.06976440965254","1"
"30","2017","380","0.06434581472807","1"
"31","1960","4852","0.82159445542274","1"
"31","1980","1801","0.30496529559281","1"
"31","1990","3848","0.6515860396675","1"
"31","2000","4019","0.68054165629513","1"
"31","2010","575","0.09736537754906","1"
"31","2017","572","0.09685738427489","1"
"32","1960","223","0.03776083337989","1"
"32","1980","141","0.02387568388594","1"
"32","1990","654","0.11074253376885","1"
"32","2000","276","0.04673538122355","1"
"32","2010","49","0.00829722347809","1"
"32","2017","59","0.00999053439199","1"
"33","1960","288","0.04876735432022","1"
"33","1980","123","0.02082772424093","1"
"33","1990","494","0.0836495591465","1"
"33","2000","365","0.06180584835723","1"
"33","2010","66","0.01117585203171","1"
"33","2017","81","0.01371581840256","1"
"34","1960","1545","0.26161653619706","1"
"34","1980","489","0.08280290368955","1"
"34","1990","2101","0.35576462300972","1"
"34","2000","621","0.10515460775299","1"
"34","2010","132","0.02235170406343","1"
"34","2017","158","0.02675431243956","1"
"35","1960","917","0.15527661080433","1"
"35","1980","392","0.06637778782475","1"
"35","1990","1174","0.19879470129148","1"
"35","2000","1091","0.18474022070614","1"
"35","2010","180","0.03047959645014","1"
"35","2017","137","0.02319835952038","1"
"36","1960","5143","0.87086980301714","1"
"36","1980","1804","0.30547328886698","1"
"36","1990","7038","1.19175222120059","1"
"36","2000","4036","0.68342028484876","1"
"36","2010","722","0.12225704798335","1"
"36","2017","671","0.11362116232247","1"
"37","1960","8872","1.50230544280927","1"
"37","1980","1923","0.32562368874236","1"
"37","1990","4414","0.74742743739406","1"
"37","2000","2813","0.47632836007917","1"
"37","2010","541","0.09160812044181","1"
"37","2017","503","0.08517353896901","1"
"38","1960","2890","0.48936685411618","1"
"38","1980","944","0.15984855027186","1"
"38","1990","1944","0.32917964166154","1"
"38","2000","1687","0.28566155117439","1"
"38","2010","331","0.05604859124998","1"
"38","2017","366","0.06197517944862","1"
"39","1960","5500","0.93132100264325","1"
"39","1980","1815","0.30733593087227","1"
"39","1990","4593","0.77773770275281","1"
"39","2000","2569","0.43501157378009","1"
"39","2010","327","0.05537126688442","1"
"39","2017","424","0.07179638274922","1"
"40","1960","3322","0.56251788559652","1"
"40","1980","1054","0.17847497032472","1"
"40","1990","2792","0.47277240715999","1"
"40","2000","2662","0.45075936527933","1"
"40","2010","397","0.0672244432817","1"
"40","2017","364","0.06163651726584","1"
"41","1960","2133","0.36118321793419","1"
"41","1980","1089","0.18440155852336","1"
"41","1990","3572","0.60485065844394","1"
"41","2000","3120","0.52831300513581","1"
"41","2010","582","0.09855069518879","1"
"41","2017","626","0.10600126320994","1"
"42","1960","4693","0.79467081189178","1"
"42","1980","1725","0.2920961326472","1"
"42","1990","6206","1.05086875316437","1"
"42","2000","4107","0.69544279233742","1"
"42","2010","710","0.12022507488667","1"
"42","2017","684","0.11582246651054","1"
"44","1960","167","0.02827829226207","1"
"44","1980","78","0.01320782512839","1"
"44","1990","263","0.04453407703548","1"
"44","2000","98","0.01659444695618","1"
"44","2010","10","0.00169331091389","1"
"44","2017","18","0.00304795964501","1"
"45","1960","3882","0.65734329677475","1"
"45","1980","731","0.12378102780585","1"
"45","1990","1583","0.26805111766986","1"
"45","2000","1068","0.18084560560418","1"
"45","2010","205","0.03471287373488","1"
"45","2017","205","0.03471287373488","1"
"46","1960","3294","0.55777661503761","1"
"46","1980","1058","0.17915229469028","1"
"46","1990","2285","0.38692154382542","1"
"46","2000","2013","0.34086348696743","1"
"46","2010","440","0.07450568021146","1"
"46","2017","355","0.06011253744333","1"
"47","1960","5648","0.95638200416893","1"
"47","1980","1117","0.18914282908227","1"
"47","1990","2673","0.45262200728462","1"
"47","2000","1715","0.2904028217333","1"
"47","2010","246","0.04165544848186","1"
"47","2017","328","0.05554059797581","1"
"48","1960","12601","2.1337410826014","1"
"48","1980","3790","0.64176483636689","1"
"48","1990","12949","2.192668302405","1"
"48","2000","9052","1.53278503925941","1"
"48","2010","1455","0.24637673797198","1"
"48","2017","1293","0.21894510116686","1"
"49","1960","713","0.12073306816084","1"
"49","1980","298","0.05046066523412","1"
"49","1990","1222","0.20692259367819","1"
"49","2000","921","0.15595393516989","1"
"49","2010","154","0.02607698807401","1"
"49","2017","131","0.02218237297204","1"
"50","1960","690","0.11683845305888","1"
"50","1980","244","0.04131678629908","1"
"50","1990","705","0.11937841942972","1"
"50","2000","602","0.10193731701658","1"
"50","2010","99","0.01676377804757","1"
"50","2017","98","0.01659444695618","1"
"51","1960","4570","0.77384308765085","1"
"51","1980","1280","0.21674379697879","1"
"51","1990","2942","0.49817207086844","1"
"51","2000","1796","0.30411864013587","1"
"51","2010","311","0.05266196942219","1"
"51","2017","241","0.04080879302491","1"
"53","1960","2718","0.46024190639715","1"
"53","1980","1511","0.25585927908981","1"
"53","1990","4727","0.80042806899903","1"
"53","2000","4158","0.7040786779983","1"
"53","2010","736","0.1246276832628","1"
"53","2017","743","0.12581300090253","1"
"54","1960","1031","0.17458035522276","1"
"54","1980","230","0.03894615101962","1"
"54","1990","524","0.08872949188819","1"
"54","2000","472","0.07992427513593","1"
"54","2010","61","0.01032919657477","1"
"54","2017","42","0.00711190583836","1"
"55","1960","7456","1.26253261740147","1"
"55","1980","2598","0.43992217543039","1"
"55","1990","8881","1.50382942263177","1"
"55","2000","6190","1.04815945570214","1"
"55","2010","1171","0.19828670801731","1"
"55","2017","1141","0.19320677527562","1"
"56","1960","686","0.11616112869332","1"
"56","1980","259","0.04385675266992","1"
"56","1990","699","0.11836243288138","1"
"56","2000","661","0.11192785140858","1"
"56","2010","96","0.0162557847734","1"
"56","2017","110","0.01862642005286","1"
"1","1960","4252","0.71999580058893","2"
"1","1980","870","0.14731804950902","2"
"1","1990","2073","0.35102335245081","2"
"1","2000","1632","0.27634834114796","2"
"1","2010","232","0.0392848132024","2"
"1","2017","229","0.03877681992823","2"
"2","1960","54","0.00914387893504","2"
"2","1980","103","0.01744110241313","2"
"2","1990","628","0.10633992539272","2"
"2","2000","450","0.07619899112535","2"
"2","2010","50","0.00846655456948","2"
"2","2017","75","0.01269983185422","2"
"4","1960","1440","0.24383677160114","2"
"4","1980","662","0.11209718249997","2"
"4","1990","1885","0.31918910726955","2"
"4","2000","1362","0.23062894647274","2"
"4","2010","213","0.036067522466","2"
"4","2017","222","0.0375915022885","2"
"5","1960","4162","0.70475600236386","2"
"5","1980","1142","0.19337610636701","2"
"5","1990","2538","0.42976230994701","2"
"5","2000","2532","0.42874632339867","2"
"5","2010","375","0.06349915927113","2"
"5","2017","320","0.05418594924469","2"
"6","1960","11646","1.97202989032425","2"
"6","1980","6534","1.10640935114019","2"
"6","1990","20735","3.51108017996508","2"
"6","2000","14596","2.47155660992381","2"
"6","2010","3126","0.52932899168415","2"
"6","2017","3128","0.52966765386692","2"
"8","1960","2165","0.36660181285866","2"
"8","1980","951","0.16103386791158","2"
"8","1990","3099","0.52475705221662","2"
"8","2000","2388","0.40436264623856","2"
"8","2010","381","0.06451514581946","2"
"8","2017","421","0.07128838947505","2"
"9","1960","769","0.13021560927866","2"
"9","1980","289","0.04893668541161","2"
"9","1990","1067","0.18067627451279","2"
"9","2000","337","0.05706457779832","2"
"9","2010","64","0.01083718984893","2"
"9","2017","59","0.00999053439199","2"
"10","1960","400","0.06773243655587","2"
"10","1980","122","0.02065839314954","2"
"10","1990","376","0.06366849036252","2"
"10","2000","188","0.03183424518126","2"
"10","2010","37","0.00626525038141","2"
"10","2017","29","0.0049106016503","2"
"11","1960","46","0.00778923020392","2"
"11","1980","47","0.00795856129531","2"
"11","1990","140","0.02370635279455","2"
"11","2000","26","0.00440260837613","2"
"11","2010","13","0.00220130418806","2"
"11","2017","10","0.00169331091389","2"
"12","1960","4975","0.84242217966367","2"
"12","1980","2858","0.48394825919171","2"
"12","1990","8308","1.40680270726548","2"
"12","2000","4459","0.75504733650659","2"
"12","2010","730","0.12361169671446","2"
"12","2017","729","0.12344236562307","2"
"13","1960","5413","0.91658919769235","2"
"13","1980","1401","0.23723285903694","2"
"13","1990","3823","0.64735276238275","2"
"13","2000","2705","0.45804060220909","2"
"13","2010","377","0.06383782145391","2"
"13","2017","453","0.07670698439952","2"
"15","1960","674","0.11412915559664","2"
"15","1980","329","0.0557099290672","2"
"15","1990","804","0.1361421974773","2"
"15","2000","759","0.12852229836476","2"
"15","2010","91","0.01540912931646","2"
"15","2017","89","0.01507046713368","2"
"16","1960","1847","0.31275452579674","2"
"16","1980","863","0.14613273186929","2"
"16","1990","2192","0.37117375232618","2"
"16","2000","1925","0.32596235092514","2"
"16","2010","385","0.06519247018502","2"
"16","2017","402","0.06807109873865","2"
"17","1960","7679","1.30029345078137","2"
"17","1980","2461","0.41672381591001","2"
"17","1990","6511","1.10251473603822","2"
"17","2000","4108","0.69561212342881","2"
"17","2010","689","0.11666912196749","2"
"17","2017","772","0.13072360255283","2"
"18","1960","4895","0.8288756923525","2"
"18","1980","1461","0.24739272452032","2"
"18","1990","3347","0.56675116288127","2"
"18","2000","1859","0.31478649889342","2"
"18","2010","398","0.06739377437309","2"
"18","2017","302","0.05113798959968","2"
"19","1960","9287","1.57257784573598","2"
"19","1980","2933","0.49664809104594","2"
"19","1990","4883","0.82684371925582","2"
"19","2000","3670","0.62144510540013","2"
"19","2010","707","0.1197170816125","2"
"19","2017","658","0.11141985813441","2"
"20","1960","4564","0.77282710110251","2"
"20","1980","1553","0.26297118492817","2"
"20","1990","3581","0.60637463826645","2"
"20","2000","3197","0.54135149917281","2"
"20","2010","570","0.09651872209211","2"
"20","2017","457","0.07738430876508","2"
"21","1960","5672","0.96044595036228","2"
"21","1980","1353","0.22910496665024","2"
"21","1990","2681","0.45397665601574","2"
"21","2000","1893","0.32054375600067","2"
"21","2010","245","0.04148611739047","2"
"21","2017","237","0.04013146865935","2"
"22","1960","3269","0.55354333775287","2"
"22","1980","792","0.13411022438062","2"
"22","1990","2157","0.36524716412754","2"
"22","2000","1598","0.27059108404071","2"
"22","2010","238","0.04030079975074","2"
"22","2017","178","0.03014093426736","2"
"23","1960","789","0.13360223110646","2"
"23","1980","346","0.05858855762083","2"
"23","1990","934","0.15815523935796","2"
"23","2000","1096","0.18558687616309","2"
"23","2010","217","0.03674484683156","2"
"23","2017","164","0.0277702989879","2"
"24","1960","1714","0.29023349064191","2"
"24","1980","648","0.10972654722051","2"
"24","1990","1882","0.31868111399538","2"
"24","2000","769","0.13021560927866","2"
"24","2010","111","0.01879575114425","2"
"24","2017","130","0.02201304188065","2"
"25","1960","1120","0.18965082235644","2"
"25","1980","427","0.07230437602339","2"
"25","1990","1802","0.3051346266842","2"
"25","2000","641","0.10854122958078","2"
"25","2010","125","0.02116638642371","2"
"25","2017","139","0.02353702170316","2"
"26","1960","3849","0.65175537075889","2"
"26","1980","1423","0.24095814304751","2"
"26","1990","4757","0.80550800174072","2"
"26","2000","3296","0.55811527722039","2"
"26","2010","704","0.11920908833833","2"
"26","2017","644","0.10904922285495","2"
"27","1960","7578","1.28319101055102","2"
"27","1980","2568","0.4348422426887","2"
"27","1990","7965","1.34872214291882","2"
"27","2000","5374","0.90998528512815","2"
"27","2010","1246","0.21098653987154","2"
"27","2017","939","0.15900189481491","2"
"28","1960","5571","0.94334351013192","2"
"28","1980","909","0.15392196207322","2"
"28","1990","1970","0.33358225003767","2"
"28","2000","1694","0.28684686881412","2"
"28","2010","234","0.03962347538518","2"
"28","2017","163","0.02760096789651","2"
"29","1960","6565","1.11165861497327","2"
"29","1980","1961","0.33205827021516","2"
"29","1990","4171","0.70627998218636","2"
"29","2000","3770","0.6383782145391","2"
"29","2010","541","0.09160812044181","2"
"29","2017","574","0.09719604645767","2"
"30","1960","1788","0.30276399140475","2"
"30","1980","758","0.12835296727337","2"
"30","1990","1930","0.32680900638208","2"
"30","2000","1966","0.33290492567211","2"
"30","2010","412","0.06976440965254","2"
"30","2017","380","0.06434581472807","2"
"31","1960","4852","0.82159445542274","2"
"31","1980","1801","0.30496529559281","2"
"31","1990","3848","0.6515860396675","2"
"31","2000","4019","0.68054165629513","2"
"31","2010","575","0.09736537754906","2"
"31","2017","572","0.09685738427489","2"
"32","1960","223","0.03776083337989","2"
"32","1980","141","0.02387568388594","2"
"32","1990","654","0.11074253376885","2"
"32","2000","276","0.04673538122355","2"
"32","2010","49","0.00829722347809","2"
"32","2017","59","0.00999053439199","2"
"33","1960","288","0.04876735432022","2"
"33","1980","123","0.02082772424093","2"
"33","1990","494","0.0836495591465","2"
"33","2000","365","0.06180584835723","2"
"33","2010","66","0.01117585203171","2"
"33","2017","81","0.01371581840256","2"
"34","1960","1545","0.26161653619706","2"
"34","1980","489","0.08280290368955","2"
"34","1990","2101","0.35576462300972","2"
"34","2000","621","0.10515460775299","2"
"34","2010","132","0.02235170406343","2"
"34","2017","158","0.02675431243956","2"
"35","1960","917","0.15527661080433","2"
"35","1980","392","0.06637778782475","2"
"35","1990","1174","0.19879470129148","2"
"35","2000","1091","0.18474022070614","2"
"35","2010","180","0.03047959645014","2"
"35","2017","137","0.02319835952038","2"
"36","1960","5143","0.87086980301714","2"
"36","1980","1804","0.30547328886698","2"
"36","1990","7038","1.19175222120059","2"
"36","2000","4036","0.68342028484876","2"
"36","2010","722","0.12225704798335","2"
"36","2017","671","0.11362116232247","2"
"37","1960","8872","1.50230544280927","2"
"37","1980","1923","0.32562368874236","2"
"37","1990","4414","0.74742743739406","2"
"37","2000","2813","0.47632836007917","2"
"37","2010","541","0.09160812044181","2"
"37","2017","503","0.08517353896901","2"
"38","1960","2890","0.48936685411618","2"
"38","1980","944","0.15984855027186","2"
"38","1990","1944","0.32917964166154","2"
"38","2000","1687","0.28566155117439","2"
"38","2010","331","0.05604859124998","2"
"38","2017","366","0.06197517944862","2"
"39","1960","5500","0.93132100264325","2"
"39","1980","1815","0.30733593087227","2"
"39","1990","4593","0.77773770275281","2"
"39","2000","2569","0.43501157378009","2"
"39","2010","327","0.05537126688442","2"
"39","2017","424","0.07179638274922","2"
"40","1960","3322","0.56251788559652","2"
"40","1980","1054","0.17847497032472","2"
"40","1990","2792","0.47277240715999","2"
"40","2000","2662","0.45075936527933","2"
"40","2010","397","0.0672244432817","2"
"40","2017","364","0.06163651726584","2"
"41","1960","2133","0.36118321793419","2"
"41","1980","1089","0.18440155852336","2"
"41","1990","3572","0.60485065844394","2"
"41","2000","3120","0.52831300513581","2"
"41","2010","582","0.09855069518879","2"
"41","2017","626","0.10600126320994","2"
"42","1960","4693","0.79467081189178","2"
"42","1980","1725","0.2920961326472","2"
"42","1990","6206","1.05086875316437","2"
"42","2000","4107","0.69544279233742","2"
"42","2010","710","0.12022507488667","2"
"42","2017","684","0.11582246651054","2"
"44","1960","167","0.02827829226207","2"
"44","1980","78","0.01320782512839","2"
"44","1990","263","0.04453407703548","2"
"44","2000","98","0.01659444695618","2"
"44","2010","10","0.00169331091389","2"
"44","2017","18","0.00304795964501","2"
"45","1960","3882","0.65734329677475","2"
"45","1980","731","0.12378102780585","2"
"45","1990","1583","0.26805111766986","2"
"45","2000","1068","0.18084560560418","2"
"45","2010","205","0.03471287373488","2"
"45","2017","205","0.03471287373488","2"
"46","1960","3294","0.55777661503761","2"
"46","1980","1058","0.17915229469028","2"
"46","1990","2285","0.38692154382542","2"
"46","2000","2013","0.34086348696743","2"
"46","2010","440","0.07450568021146","2"
"46","2017","355","0.06011253744333","2"
"47","1960","5648","0.95638200416893","2"
"47","1980","1117","0.18914282908227","2"
"47","1990","2673","0.45262200728462","2"
"47","2000","1715","0.2904028217333","2"
"47","2010","246","0.04165544848186","2"
