"race","Year","obs","%pp_race/year","ind"
"1","1950","73795","7.27415567747875","1"
"1","1960","226519","22.3285381110754","1"
"1","1970","32137","3.16782357892993","1"
"1","1980","167929","16.5531768922464","1"
"1","1990","205860","20.2921293822857","1"
"1","2000","140979","13.896648733048","1"
"1","2010","27036","2.66500539191429","1"
"2","1950","16472","1.62368578249786","1"
"2","1960","44584","4.39475515583322","1"
"2","1970","4228","0.41676441770282","1"
"2","1980","13499","1.33062981896179","1"
"2","1990","13288","1.30983102706602","1"
"2","2000","6954","0.6854729802993","1"
"2","2010","931","0.09177097277231","1"
"3","1950","594","0.05855204922315","1"
"3","1960","1791","0.1765432999304","1"
"3","1970","255","0.0251359807271","1"
"3","1980","1663","0.16392602333013","1"
"3","1990","33","0.0032528916235","1"
"3","2000","2325","0.22918100074717","1"
"3","2010","376","0.0370632500133","1"
"4","1950","392","0.03864040958834","1"
"4","1960","2576","0.25392269158053","1"
"4","1970","436","0.04297759841968","1"
"4","1980","2520","0.24840263306791","1"
"4","1990","3120","0.30754611713169","1"
"4","2000","1972","0.19438491762298","1"
"4","2010","47","0.00463290625166","1"
"5","1950","161","0.01587016822378","1"
"5","1960","252","0.02484026330679","1"
"5","1970","35","0.00345003657038","1"
"5","1980","1024","0.10093821280219","1"
"5","1990","17911","1.76553157177751","1"
"5","2010","2054","0.20246786044503","1"
"6","1980","162","0.01596874069722","1"
"6","1990","492","0.0484976569323","1"
"6","2000","63","0.00621006582669","1"
"6","2010","17","0.00167573204847","1"
"1","1950","73795","7.27415567747875","2"
"1","1960","226519","22.3285381110754","2"
"1","1970","32137","3.16782357892993","2"
"1","1980","167929","16.5531768922464","2"
"1","1990","205860","20.2921293822857","2"
"1","2000","140979","13.896648733048","2"
"1","2010","27036","2.66500539191429","2"
"2","1950","16472","1.62368578249786","2"
"2","1960","44584","4.39475515583322","2"
"2","1970","4228","0.41676441770282","2"
"2","1980","13499","1.33062981896179","2"
"2","1990","13288","1.30983102706602","2"
"2","2000","6954","0.6854729802993","2"
"2","2010","931","0.09177097277231","2"
"3","1950","594","0.05855204922315","2"
"3","1960","1791","0.1765432999304","2"
"3","1970","255","0.0251359807271","2"
"3","1980","1663","0.16392602333013","2"
"3","1990","33","0.0032528916235","2"
"3","2000","2325","0.22918100074717","2"
"3","2010","376","0.0370632500133","2"
"4","1950","392","0.03864040958834","2"
"4","1960","2576","0.25392269158053","2"
"4","1970","436","0.04297759841968","2"
"4","1980","2520","0.24840263306791","2"
"4","1990","3120","0.30754611713169","2"
"4","2000","1972","0.19438491762298","2"
"4","2010","47","0.00463290625166","2"
"5","1950","161","0.01587016822378","2"
"5","1960","252","0.02484026330679","2"
"5","1970","35","0.00345003657038","2"
"5","1980","1024","0.10093821280219","2"
"5","1990","17911","1.76553157177751","2"
"5","2010","2054","0.20246786044503","2"
"6","1980","162","0.01596874069722","2"
"6","1990","492","0.0484976569323","2"
"6","2000","63","0.00621006582669","2"
"6","2010","17","0.00167573204847","2"
"1","1950","38045","2.80058124298842","3"
"1","1960","270494","19.911694644261","3"
"1","1970","59680","4.3931840867801","3"
"1","1980","219949","16.1909592276005","3"
"1","1990","281872","20.7492557793043","3"
"1","2000","184298","13.5666059119537","3"
"1","2010","38060","2.80168542799683","3"
"2","1950","16329","1.20201580015134","3"
"2","1960","99976","7.3594666933634","3"
"2","1970","15392","1.13304104329288","3"
"2","1980","24182","1.78009345821911","3"
"2","1990","34912","2.56995380089924","3"
"2","2000","21940","1.61505460562928","3"
"2","2010","4015","0.29555352058348","3"
"3","1950","81","0.00596259904539","3"
"3","1960","819","0.06028850145899","3"
"3","1970","286","0.02105312749361","3"
"3","1980","1411","0.1038670031241","3"
"3","1990","13","0.00095696034061","3"
"3","2000","1868","0.13750783971355","3"
"3","2010","377","0.02775184987795","3"
"4","1950","298","0.02193647550034","3"
"4","1960","2505","0.18439889640389","3"
"4","1970","685","0.05042444871723","3"
"4","1980","3606","0.26544607602092","3"
"4","1990","7809","0.57483871537643","3"
"4","2000","10353","0.76210849280218","3"
"4","2010","189","0.01391273110592","3"
"5","1950","11","0.00080973567283","3"
"5","1960","359","0.02642682786786","3"
"5","1970","91","0.00669872238433","3"
"5","1980","827","0.06087740013014","3"
"5","1990","13912","1.0240947891301","3"
"5","2000","4","0.00029444933557","3"
"5","2010","2162","0.15914986587832","3"
"6","1980","442","0.03253665158104","3"
"6","1990","1074","0.0790596466019","3"
"6","2000","127","0.0093487664045","3"
"6","2010","15","0.0011041850084","3"
"1","1950","41952","0.96584546472564","4"
"1","1960","458438","10.5544494459833","4"
"1","1970","154371","3.55402675045676","4"
"1","1980","1030398","23.7224741409795","4"
"1","1990","1336216","30.7632094654329","4"
"1","2000","559764","12.8872406730712","4"
"1","2010","145869","3.35828833176165","4"
"2","1950","4327","0.09961892939234","4"
"2","1960","41886","0.96432597100253","4"
"2","1970","16268","0.37453218011433","4"
"2","1980","143662","3.30747738256615","4"
"2","1990","161571","3.71978970206872","4"
"2","2000","67099","1.54479559586255","4"
"2","2010","16362","0.37669630753816","4"
"3","1950","71","0.00163460688395","4"
"3","1960","873","0.02009875788294","4"
"3","1970","471","0.01084365975128","4"
"3","1980","6936","0.15968497671951","4"
"3","1990","147","0.00338432692874","4"
"3","2000","4669","0.10749266959391","4"
"3","2010","1217","0.02801854334885","4"
"4","1950","104","0.0023943537455","4"
"4","1960","2867","0.06600588642659","4"
"4","1970","1624","0.03738875464136","4"
"4","1980","20127","0.46337651765191","4"
"4","1990","37943","0.87354773236282","4"
"4","2000","30585","0.70414720486827","4"
"4","2010","3398","0.07823090410797","4"
"5","1950","5","0.00011511316084","4"
"5","1960","588","0.01353730771497","4"
"5","1970","190","0.00437430011198","4"
"5","1980","3070","0.07067948075676","4"
"5","1990","32537","0.74908738286084","4"
"5","2000","16","0.00036836211469","4"
"5","2010","6353","0.14626278216537","4"
"6","1980","3626","0.08348006424235","4"
"6","1990","7477","0.17214022072257","4"
"6","2000","401","0.00923207549949","4"
"6","2010","74","0.00170367478045","4"
"1","1950","26225","1.85379315414864","5"
"1","1960","235468","16.6447651638159","5"
"1","1970","39221","2.77245457764972","5"
"1","1980","258952","18.3048024729494","5"
"1","1990","266384","18.8301557893129","5"
"1","2000","290116","20.5077237257955","5"
"1","2010","69909","4.94172833606778","5"
"2","1950","2191","0.15487743758778","5"
"2","1960","18792","1.32836914977164","5"
"2","1970","4007","0.28324687011148","5"
"2","1980","44785","3.1657626847873","5"
"2","1990","44101","3.1174120835504","5"
"2","2000","52255","3.69380214566396","5"
"2","2010","12167","0.86006106030606","5"
"3","1950","62","0.00438265683726","5"
"3","1960","629","0.04446276049416","5"
"3","1970","264","0.01866163556511","5"
"3","1980","4155","0.2937086961101","5"
"3","1990","96","0.0067860492964","5"
"3","2000","6498","0.45933071175053","5"
"3","2010","1639","0.11585765413344","5"
"4","1950","85","0.00600848114786","5"
"4","1960","2094","0.14802070027787","5"
"4","1970","497","0.0351319427116","5"
"4","1980","5257","0.37160688699177","5"
"4","1990","7202","0.50909507325752","5"
"4","2000","8830","0.62417515924242","5"
"4","2010","429","0.03032515779331","5"
"5","1950","4","0.00028275205401","5"
"5","1960","590","0.0417059279675","5"
"5","1970","51","0.00360508868871","5"
"5","1980","1004","0.07097076555825","5"
"5","1990","7391","0.52245510780982","5"
"5","2000","9","0.00063619212153","5"
"5","2010","1708","0.12073512706523","5"
"6","1980","347","0.02452874068597","5"
"6","1990","1066","0.07535342239551","5"
"6","2000","137","0.00968425785008","5"
"6","2010","50","0.00353440067521","5"
